Episode,Sex,Age,Race,Class,Crime,,,,
4.20. ,M,Y,W,M,M/S,Billy,,,
4.20.,M,Y,W,M,M/S,Charlie,,,
4.21.,M,Y,W,L,A,Joe,,,
4.21.,O,Y,W,L,M,Cheryl,,,
5.04.,M,A,H,H,S/M/O,Rafael,,,
6.04.,M,A,W,M,M/S,Humphrey,,,
6.06.,M,K,W,M,M/S,Jake,,,
6.06.,M,A,W,M,M,Dr. Brett,,,
6.12.,M,K,W,M,M,Logan,,,
6.12.,O,K,W,M,M,Lindsey,,,Sex assault
6.12.,M,S,W,M,S,Doctor,,,Murder/ serious injury
7.03.,M,A,W,M,S,Richard,,,Assault
7.06.,M,A,W,L,M,Brandon,,,
7.06.,F,A,W,M,A,Dana,,,
7.06.,M,K,W,M,M,Kyle,,,Kidnapping
7.19.,M,A,H,L,S/K,Gitano,,,Other
8.22.,M,A,B,M,M/S,Darius,,,
9.01.,F,A,W,M,M,Sister,,,
9.01.,F,A,W,M,M/O,Janis,,,
9.15.,M,A,B,L,S,Rick,,,
9.15.,M,A,W,M,S,Warden,,,
9.17.,M,S,W,M,S/A/O,Merit,,,
10.22.,W,A,W,U,M/S,Harrison ,,,
10.22.,M,Y,W,M,M,Stucky,,,
11.02.,F,A,W,H,M,Anne,,,
12.03.,M,A,W,H,S/A /K,Harris ,,,
14.09.,F,A,W,L,O,Jeannie,,,
14.09.,M,S,W,M,M/A,Craig,,,
14.24.,M,A,W,M,K/S/O/A,William,,,
15.01.,M,A,W,M,K/S/O/A,William,,,
17.17,M,A,W,M,S,Russo,,,
17.17.,M,A,B,M,S,Jeferson,,,
