Episode,Sex,Age,Race,Class,
4.20.,M,Y,W,M,
4.20.,M,Y,W,M,
4.20.,F,Y,W,M,
4.20.,F,Y,W,M,
4.20.,M,Y,W,M,
4.20.,M,Y,W,M,
4.20.,F,Y,W,M,
4.20.,F,Y,W,M,
4.20.,M,S,W,M,
4.20.,F,S,W,M,
4.21.,M,Y,W,M,
4.21.,O,Y,W,M,
5.04.,M,A,W,M,
5.04.,F,A,W,M,
5.04.,F,Y,H,M,
6.04.,F,A,W,M,
6.04.,F,S,W,M,
6.04.,F,A,W,M,
6.06.,M,K,W,M,
6.12.,F,Y,W,L,
6.12.,M,Y,H,L,
7.03.,F,K,H,L,
7.06.,F,K,W,M,
7.06.,M,K,W,M,
7.06.,F,K,W,M,
7.06.,M,K,B,M,
7.19.,F,K,W,M,
7.19.,F,S,W,M,
7.19.,M,S,W,M,
7.19.,M,K,W,M,
7.19.,F,K,W,M,
8.22.,M,K,B,M,
8.22.,F,A,B,M,
9.01.,F,S,W,M,
9.01.,M,S,W,M,
9.15.,F,K,B,L,
9.15.,F,A,B,L,
9.17.,F,A,W,M,
9.17.,F,Y,B,L,
10.22.,F,A,W,M,
10.22.,F,Y,U,U,
10.22.,F,S,W,M,
10.22.,M,A,W,M,
10.22.,M,A,W,M,
11.12.,M,S,W,H,
11.12.,F,S,W,H,
12.03.,F,A,W,M,
14.09.,F,A,W,L,
14.09.,F,A,W,M,
14.09.,F,A,W,M,
14.09.,F,S,W,M,
14.09.,F,Y,B,L,
14.09.,M,Y,W,M,
14.09.,M,Y,W,M,
14.09.,M,A,U,M,
14.09.,M,A,W,M,
14.24.,F,Y,W,M,
14.24.,F,Y,W,M,
14.24.,F,A,W,M,
14.24.,F,S,W,M,
15.01.,F,S,W,M,
15.01.,M,S,W,M,
15.01.,M,Y,W,M,
15.01.,F,K,H,L,
15.01.,F,A,H,L,
15.01.,F,A,W,M,
17.17.,F,K,H,L,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
